Número de Buscas,Busca Linear (s),Trie (s),Patricia (s),Temperatura CPU (°C)
2,0.015769243240356445,0.00012922286987304688,0.0001556873321533203,80.0
4,0.038889408111572266,0.00013518333435058594,0.00010251998901367188,50.0
8,0.06976890563964844,0.00010180473327636719,0.00010275840759277344,54.0
16,0.24914932250976562,0.00016570091247558594,0.00010037422180175781,71.0
32,0.2923903465270996,0.00028824806213378906,0.0004265308380126953,51.0
64,0.523627519607544,0.00029015541076660156,0.0011806488037109375,71.0
128,1.1358542442321777,0.0021157264709472656,0.0024666786193847656,51.0
256,2.0765793323516846,0.006426334381103516,0.004573822021484375,51.0
512,4.438539505004883,0.004372835159301758,0.009428977966308594,52.0
1024,8.758143663406372,0.016752958297729492,0.008075475692749023,65.0
